City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
San angelo,US,31.46,-100.44,46.4,87,1,16.08,clear sky
Mwene-ditu,CD,-7.0,23.45,82.54,62,93,2.77,overcast clouds
Broome,US,42.25,-75.83,39.99,80,90,18.34,overcast clouds
La ronge,CA,55.1,-105.28,23.0,79,22,6.93,few clouds
Dunedin,NZ,-45.87,170.5,51.01,81,99,11.88,overcast clouds
Atuona,PF,-9.8,-139.03,77.72,74,0,14.83,clear sky
Vilhena,BR,-12.74,-60.15,67.35,76,78,3.87,broken clouds
San giovanni rotondo,IT,41.7,15.72,59.0,100,40,5.82,mist
Khatanga,RU,71.97,102.5,-0.92,89,100,7.61,overcast clouds
Tupiza,BO,-21.45,-65.72,51.53,56,92,4.47,overcast clouds
Carnarvon,AU,-24.87,113.63,64.4,100,90,10.29,overcast clouds
Sabha,LY,27.04,14.43,70.83,47,0,9.04,clear sky
Hilo,US,19.73,-155.09,75.2,83,75,3.36,broken clouds
Ulladulla,AU,-35.35,150.47,61.0,82,75,9.17,broken clouds
Issoire,FR,45.55,3.25,57.2,67,0,14.99,clear sky
Rocha,UY,-34.48,-54.33,51.37,84,0,3.38,clear sky
Port blair,IN,11.67,92.75,83.44,73,40,4.99,scattered clouds
Cape town,ZA,-33.93,18.42,79.0,31,0,9.17,clear sky
Jamestown,US,42.1,-79.24,43.0,80,75,12.75,broken clouds
Oistins,BB,13.07,-59.53,80.6,88,75,18.34,shower rain
Ariquemes,BR,-9.91,-63.04,70.12,95,100,1.61,overcast clouds
Souillac,MU,-20.52,57.52,77.0,47,40,17.22,scattered clouds
Pangnirtung,CA,66.15,-65.71,12.47,85,99,2.93,overcast clouds
Juneau,US,58.3,-134.42,46.4,87,90,6.93,light rain
Uglovskoye,RU,51.36,80.19,43.43,61,0,5.93,clear sky
San cristobal,VE,7.77,-72.22,65.03,85,96,1.68,light rain
Luwuk,ID,-0.95,122.79,80.33,69,69,4.94,broken clouds
Iturama,BR,-19.73,-50.2,67.59,73,12,10.83,few clouds
Beidao,CN,34.57,105.89,37.0,73,24,3.42,few clouds
Kruisfontein,ZA,-34.0,24.73,72.97,53,0,17.85,clear sky
Bambous virieux,MU,-20.34,57.76,77.0,47,40,17.22,scattered clouds
Palmer,US,42.16,-72.33,33.01,91,90,2.46,mist
Agutaya,PH,11.15,120.94,83.12,78,100,16.73,light rain
Port elizabeth,ZA,-33.92,25.57,71.6,60,20,21.92,few clouds
Agua preta,BR,-8.71,-35.53,77.85,78,93,8.25,overcast clouds
Xining,CN,36.62,101.77,41.83,59,58,8.68,broken clouds
Hamilton,US,39.18,-84.53,54.0,76,20,13.87,few clouds
Sakaiminato,JP,35.55,133.23,64.4,72,75,3.36,broken clouds
Sakakah,SA,29.97,40.21,89.6,14,0,6.93,clear sky
Saint george,US,37.1,-113.58,48.2,21,1,3.36,clear sky
Tarakan,ID,3.3,117.63,83.41,73,100,3.29,overcast clouds
Tiksi,RU,71.69,128.87,-6.56,90,11,8.23,few clouds
Takaungu,KE,-3.68,39.86,86.0,70,40,10.29,scattered clouds
Winnemucca,US,40.97,-117.74,28.4,50,1,5.82,clear sky
Luderitz,NA,-26.65,15.16,76.75,37,0,16.69,clear sky
Bay roberts,CA,47.6,-53.26,33.01,67,57,12.1,broken clouds
Tucuman,AR,-26.82,-65.22,55.4,54,0,6.93,clear sky
Rio gallegos,AR,-51.62,-69.22,48.2,81,0,6.93,clear sky
Yellowknife,CA,62.46,-114.35,21.2,92,75,8.05,light snow
Narsaq,GL,60.92,-46.05,24.8,85,99,3.02,light snow
Margate,GB,51.38,1.39,61.0,96,99,5.01,light rain
Zhangjiakou,CN,40.81,114.88,44.46,47,65,8.32,light rain
Northam,GB,51.03,-4.22,57.99,88,74,11.99,broken clouds
Upernavik,GL,72.79,-56.15,15.37,94,100,4.72,overcast clouds
Jackson,US,42.42,-122.83,53.6,54,1,1.81,clear sky
Torbay,CA,47.67,-52.73,34.0,87,75,21.92,broken clouds
Najran,SA,17.49,44.13,80.6,21,0,9.17,clear sky
Biak,ID,-0.91,122.88,80.02,72,77,5.46,broken clouds
Komsomolskiy,UZ,40.43,71.72,64.4,17,0,2.24,clear sky
Fare,PF,-16.7,-151.02,80.24,78,8,23.29,light rain
Fortuna,US,40.6,-124.16,48.2,100,1,5.82,clear sky
Banagher,IE,53.19,-7.99,50.0,80,52,4.0,broken clouds
Kaitangata,NZ,-46.28,169.85,50.0,67,93,13.0,overcast clouds
Lavrentiya,RU,65.58,-171.0,22.19,90,0,6.51,clear sky
Kayes,ML,14.0,-11.0,82.4,30,0,2.24,clear sky
Thunder bay,CA,48.4,-89.32,27.0,73,90,14.99,overcast clouds
Burgeo,CA,47.62,-57.62,33.82,87,34,8.79,scattered clouds
Tautira,PF,-17.73,-149.15,77.0,78,0,2.24,clear sky
Avarua,CK,-21.21,-159.78,75.2,88,100,17.22,overcast clouds
Clarence town,AU,-32.58,151.78,64.99,77,90,19.46,overcast clouds
Ola,RU,59.58,151.28,31.53,94,84,6.35,broken clouds
Beloha,MG,-25.17,45.05,90.32,30,0,14.52,clear sky
Barrow,US,71.29,-156.79,24.8,62,90,12.75,overcast clouds
Muros,ES,42.78,-9.06,64.0,93,100,11.99,light rain
Arraial do cabo,BR,-22.97,-42.03,69.8,77,75,8.05,broken clouds
Kurilsk,RU,45.23,147.88,48.6,85,95,8.34,overcast clouds
Yumbe,UG,3.47,31.25,81.32,63,0,5.5,clear sky
Kununurra,AU,-15.77,128.73,89.6,46,52,6.93,broken clouds
Ostrovnoy,RU,68.05,39.51,32.22,95,97,16.17,overcast clouds
Havoysund,NO,71.0,24.66,35.6,74,24,35.57,few clouds
Ilulissat,GL,69.22,-51.1,19.4,67,100,17.22,overcast clouds
Mabaruma,GY,8.2,-59.78,74.19,98,100,2.62,overcast clouds
Tias,ES,28.96,-13.64,78.8,50,0,17.22,clear sky
Thompson,CA,55.74,-97.86,-5.8,91,5,5.23,clear sky
Puerto colombia,CO,10.99,-74.95,75.2,100,40,5.82,scattered clouds
Sao felix do xingu,BR,-6.64,-51.99,73.56,94,99,0.96,light rain
Kuzino,RU,57.02,59.44,31.87,93,40,6.87,scattered clouds
Kulhudhuffushi,MV,6.62,73.07,83.01,69,0,7.38,clear sky
Ponta delgada,PT,37.73,-25.67,69.8,94,75,16.11,broken clouds
Sitka,US,57.05,-135.33,46.4,93,90,6.93,overcast clouds
Puerto ayora,EC,-0.74,-90.35,66.99,97,99,1.99,overcast clouds
Oytal,KZ,42.91,73.27,62.13,25,0,2.86,clear sky
Dikson,RU,73.51,80.55,20.25,97,92,4.61,overcast clouds
Porto belo,BR,-27.16,-48.55,64.99,77,75,3.36,broken clouds
Kieta,PG,-6.22,155.63,80.73,72,18,2.13,light rain
Bilibino,RU,68.05,166.44,7.75,84,96,2.86,overcast clouds
Beringovskiy,RU,63.05,179.32,21.63,96,67,7.87,broken clouds
Bosaso,SO,11.28,49.18,84.2,66,20,20.8,few clouds
Deputatskiy,RU,69.3,139.9,-15.0,89,93,5.91,overcast clouds
Berlevag,NO,70.86,29.09,37.78,82,23,25.3,few clouds
Coihaique,CL,-45.58,-72.07,39.2,86,0,3.36,clear sky
Gamba,GA,-2.65,10.0,77.59,88,97,4.83,moderate rain
Port hardy,CA,50.7,-127.42,50.0,81,90,8.05,overcast clouds
Gazojak,TM,41.19,61.4,69.55,19,88,5.5,overcast clouds
Outjo,NA,-20.12,16.15,90.45,17,14,2.59,few clouds
Lagoa,PT,39.05,-27.98,69.39,87,94,29.64,overcast clouds
Castro,BR,-24.79,-50.01,52.83,90,44,6.93,scattered clouds
Aksu,CN,41.12,80.26,57.47,32,0,3.6,clear sky
Anaconda,US,46.13,-112.94,26.6,79,1,3.36,clear sky
Benghazi,LY,32.12,20.07,73.67,55,45,10.16,scattered clouds
Vangaindrano,MG,-23.35,47.6,76.01,62,72,9.98,broken clouds
Longyearbyen,SJ,78.22,15.64,28.4,68,40,19.46,scattered clouds
Cherskiy,RU,68.75,161.3,10.36,89,100,4.97,overcast clouds
Tynda,RU,55.17,124.72,8.89,87,100,10.83,overcast clouds
Cockburn town,TC,21.46,-71.14,82.45,76,100,22.19,overcast clouds
Techiman,GH,7.59,-1.94,81.48,76,57,3.33,light rain
Kysyl-syr,RU,63.9,122.76,0.82,93,96,5.82,overcast clouds
Bhatkal,IN,13.97,74.57,82.49,68,7,5.44,clear sky
Warri,NG,5.52,5.75,89.91,62,68,2.46,broken clouds
Huilong,CN,31.81,121.66,68.0,76,100,6.64,overcast clouds
Nikolskoye,RU,59.7,30.79,39.0,93,0,4.47,clear sky
Flinders,AU,-34.58,150.86,62.01,78,45,4.0,scattered clouds
Bredasdorp,ZA,-34.53,20.04,73.4,53,9,19.46,clear sky
Nuuk,GL,64.18,-51.72,21.2,85,97,6.93,overcast clouds
San luis,AR,-33.3,-66.34,61.41,31,0,12.8,clear sky
Umm kaddadah,SD,13.6,26.69,92.53,16,5,19.26,clear sky
Vanavara,RU,60.34,102.28,7.03,94,9,5.12,clear sky
Hegang,CN,47.4,130.37,35.15,82,57,8.14,broken clouds
Quixeramobim,BR,-5.2,-39.29,78.33,70,99,7.85,overcast clouds
Nanortalik,GL,60.14,-45.24,28.99,90,100,23.2,overcast clouds
Hay river,CA,60.82,-115.8,30.2,100,75,8.05,light snow
Martapura,ID,-3.42,114.85,80.46,80,93,3.91,overcast clouds
Kodiak,US,57.79,-152.41,26.6,49,1,4.7,clear sky
Tashla,RU,51.77,52.74,52.59,47,24,6.85,few clouds
Tasiilaq,GL,65.61,-37.64,30.2,100,100,4.76,light snow
Faanui,PF,-16.48,-151.75,79.72,79,7,20.67,light rain
Eureka,US,40.8,-124.16,48.2,100,20,3.36,few clouds
Bulgan,MN,48.81,103.53,26.55,77,20,3.44,few clouds
Tuktoyaktuk,CA,69.45,-133.04,1.76,94,100,3.02,overcast clouds
Binzhou,CN,37.37,118.02,61.0,64,61,6.02,light rain
Skaelskor,DK,55.25,11.29,55.0,93,100,11.41,overcast clouds
Coquimbo,CL,-29.95,-71.34,51.8,93,51,2.24,broken clouds
Ancud,CL,-41.87,-73.82,42.8,87,0,4.7,clear sky
Evensk,RU,61.95,159.23,22.57,93,92,7.49,overcast clouds
Ewa beach,US,21.32,-158.01,75.2,83,1,3.36,clear sky
Sioux lookout,CA,50.1,-91.92,21.2,79,90,31.09,overcast clouds
Cayenne,GF,4.93,-52.33,75.2,100,90,7.72,fog
Churapcha,RU,62.0,132.43,-13.25,89,55,2.64,broken clouds
Mountain home,US,43.13,-115.69,32.0,71,1,5.82,clear sky
Esperance,AU,-33.87,121.9,68.0,68,100,13.87,moderate rain
Prenzlau,DE,53.32,13.87,54.0,99,100,1.01,overcast clouds
Srinagar,IN,34.08,74.82,68.16,24,12,6.96,few clouds
Parry sound,CA,45.35,-80.03,45.0,81,100,16.98,light rain
Xuddur,SO,4.12,43.89,82.83,56,16,0.6,moderate rain
Sechura,PE,-5.56,-80.82,62.02,88,100,7.43,overcast clouds
Jumla,NP,29.27,82.18,60.39,46,82,4.07,light rain
Scandiano,IT,44.6,10.69,63.0,100,75,4.7,mist
Kichmengskiy gorodok,RU,59.98,45.79,34.59,86,2,4.03,clear sky
Qaqortoq,GL,60.72,-46.03,24.8,85,100,2.84,light snow
Lola,GN,7.8,-8.53,86.36,52,20,0.92,few clouds
Gizo,SB,-8.1,156.84,84.04,75,12,5.32,few clouds
Jalu,LY,29.03,21.55,75.07,45,3,8.19,clear sky
Krasnoselkup,RU,65.7,82.47,30.4,98,100,10.31,overcast clouds
Leningradskiy,RU,69.38,178.42,12.29,83,2,5.93,clear sky
Oranjemund,NA,-28.55,16.43,73.89,36,0,10.18,clear sky
Chokurdakh,RU,70.63,147.92,-5.33,92,100,8.41,overcast clouds
Lakes entrance,AU,-37.88,147.98,57.0,86,0,5.79,clear sky
Nakonde,ZM,-9.34,32.74,91.58,23,69,2.04,broken clouds
Pahrump,US,36.21,-115.98,54.0,25,44,1.36,scattered clouds
Riberalta,BO,-10.98,-66.1,71.6,100,75,3.22,broken clouds
Laela,TZ,-8.57,32.05,84.58,30,80,4.18,broken clouds
Samarai,PG,-10.62,150.67,81.73,84,58,10.49,light rain
Argelia,CO,2.26,-77.25,64.29,78,100,0.34,light rain
Mehamn,NO,71.04,27.85,34.16,89,11,14.79,few clouds
Sao filipe,CV,14.9,-24.5,79.84,68,2,10.04,clear sky
Iqaluit,CA,63.75,-68.51,8.6,84,20,3.36,few clouds
Necochea,AR,-38.55,-58.74,50.0,88,0,3.0,clear sky
Agadir,MA,30.42,-9.6,71.6,35,0,4.0,clear sky
Ishigaki,JP,24.34,124.16,77.0,73,75,11.41,broken clouds
East london,ZA,-33.02,27.91,69.8,64,40,12.75,scattered clouds
Toul,FR,48.67,5.92,60.8,93,75,18.34,light intensity drizzle
Omsukchan,RU,62.53,155.8,12.96,93,53,7.23,broken clouds
Atasu,KZ,48.68,71.64,52.29,35,0,5.73,clear sky
Malinovoye ozero,RU,51.68,79.78,44.13,60,0,5.46,clear sky
Karratha,AU,-20.74,116.85,75.67,70,1,20.49,clear sky
Krasnoarmeysk,RU,51.02,45.7,48.0,61,100,7.0,overcast clouds
Indian head,US,38.6,-77.16,48.99,81,90,4.7,overcast clouds
Svetlyy,RU,54.67,20.13,52.0,76,0,11.18,clear sky
Aripuana,BR,-9.17,-60.63,71.92,99,100,1.59,moderate rain
Constitucion,CL,-35.33,-72.42,51.96,87,3,2.89,clear sky
Inhambane,MZ,-23.86,35.38,84.2,51,40,9.17,scattered clouds
Linping,CN,30.42,120.3,68.0,64,40,6.71,scattered clouds
Nhulunbuy,AU,-12.23,136.77,82.4,74,23,9.17,few clouds
Santa isabel,BR,-23.32,-46.22,60.8,93,90,3.36,light intensity drizzle
Hobyo,SO,5.35,48.53,84.38,62,9,10.42,clear sky
Itarema,BR,-2.92,-39.92,81.09,75,85,12.53,overcast clouds
Ulaanbaatar,MN,47.91,106.88,19.4,62,40,11.18,scattered clouds
Veraval,IN,20.9,70.37,87.15,40,0,7.52,clear sky
Morro agudo,BR,-20.73,-48.06,62.6,77,0,9.17,clear sky
Kabalo,CD,-6.05,26.92,81.48,70,100,3.98,light rain
Huarmey,PE,-10.07,-78.15,59.07,87,52,6.35,broken clouds
Ciudad bolivar,VE,8.12,-63.55,75.99,90,100,4.5,overcast clouds
Campina verde,BR,-19.54,-49.49,67.46,78,53,7.92,broken clouds
Ngunguru,NZ,-35.62,174.5,60.89,87,35,6.02,scattered clouds
Dawlatabad,AF,36.41,64.91,77.29,11,0,2.68,clear sky
Lasa,IT,46.62,10.7,44.6,70,40,8.05,scattered clouds
Osoyoos,CA,49.03,-119.45,32.0,73,2,2.17,clear sky
Nara,JP,34.69,135.8,68.0,60,75,1.12,broken clouds
Komsomolets,KZ,53.75,62.07,38.52,92,100,5.1,overcast clouds
Kavieng,PG,-2.57,150.8,83.68,75,54,8.59,broken clouds
Vrangel,RU,42.73,133.08,52.83,76,71,5.21,broken clouds
Port hawkesbury,CA,45.62,-61.35,30.2,50,1,5.82,clear sky
Saldanha,ZA,-33.01,17.94,84.2,20,0,4.7,clear sky
Huanren,CN,41.26,125.37,40.96,63,0,3.78,clear sky
Alofi,NU,-19.06,-169.92,75.2,94,57,14.99,broken clouds
Bengkulu,ID,-3.8,102.27,81.0,80,64,3.51,moderate rain
Provideniya,RU,64.38,-173.3,22.12,87,0,3.49,clear sky
Mandalgovi,MN,45.76,106.27,24.62,77,9,10.18,clear sky
Labuhan,ID,-6.88,112.21,79.99,76,75,0.49,broken clouds
Fairbanks,US,64.84,-147.72,7.0,84,90,1.79,light snow
Port hedland,AU,-20.32,118.57,80.6,69,3,17.22,clear sky
Anadyr,RU,64.75,177.48,10.4,78,75,8.95,broken clouds
Sal rei,CV,16.18,-22.92,80.6,69,40,18.34,scattered clouds
Glendive,US,47.11,-104.71,28.99,79,90,6.93,overcast clouds
Tharad,IN,24.4,71.63,91.22,13,0,4.59,clear sky
Gigmoto,PH,13.78,124.39,79.84,71,100,6.55,overcast clouds
Saint-denis,FR,48.92,2.33,64.0,88,100,20.8,overcast clouds
Dobresti,RO,46.85,22.3,50.0,71,0,2.24,clear sky
Tabory,RU,58.52,64.55,32.94,93,96,8.41,overcast clouds
Trairi,BR,-3.28,-39.27,82.6,70,99,10.98,overcast clouds
Lluta,PE,-16.01,-72.01,44.26,67,65,1.99,broken clouds
Camacha,PT,33.08,-16.33,69.8,88,20,6.93,few clouds
Prince rupert,CA,54.32,-130.32,53.6,87,90,17.22,overcast clouds
Scottsbluff,US,41.87,-103.67,26.6,92,1,8.05,clear sky
Sokoni,TZ,-6.43,39.55,82.4,74,75,9.17,light rain
Ossora,RU,59.24,163.07,33.48,93,99,3.94,overcast clouds
Palmas,BR,-10.21,-48.36,73.4,94,75,3.36,broken clouds
Clyde river,CA,70.47,-68.59,8.6,84,75,14.99,broken clouds
Dong xoai,VN,11.53,106.92,82.33,81,96,0.89,light rain
Bystrice,CZ,49.64,18.72,55.99,88,91,3.0,overcast clouds
Tommot,RU,58.96,126.29,-3.21,90,88,0.92,overcast clouds
Sao joao da barra,BR,-21.64,-41.05,68.0,88,75,16.11,broken clouds
The valley,AI,18.22,-63.06,81.0,69,20,12.75,few clouds
Ust-nera,RU,64.57,143.2,-12.03,80,13,3.78,few clouds
Saint-joseph,RE,-21.37,55.62,75.2,57,90,11.41,overcast clouds
Namatanai,PG,-3.67,152.43,81.81,77,58,5.88,broken clouds
Coos bay,US,43.37,-124.22,43.0,100,1,3.83,clear sky
Palu,ID,-0.89,119.87,78.39,78,100,1.57,overcast clouds
Olafsvik,IS,64.89,-23.71,41.63,75,30,10.98,scattered clouds
Tutoia,BR,-2.76,-42.27,80.24,78,78,10.02,broken clouds
Cap malheureux,MU,-19.98,57.61,77.0,57,20,4.0,few clouds
Ahuimanu,US,21.44,-157.84,75.2,88,20,4.88,few clouds
Lahat,ID,-3.8,103.53,83.61,80,62,0.87,light rain
Fiumicino,IT,41.77,12.23,62.01,82,20,6.93,few clouds
Ranong,TH,9.97,98.63,86.0,79,40,6.93,scattered clouds
Portland,US,45.52,-122.68,48.0,81,1,3.36,clear sky
Elizabeth city,US,36.29,-76.25,55.4,93,20,5.82,few clouds
Saint-philippe,RE,-21.36,55.77,75.2,57,90,11.41,overcast clouds
Mahebourg,MU,-20.41,57.7,77.0,47,40,17.22,scattered clouds
Zima,RU,53.92,102.04,19.35,80,5,2.57,clear sky
Comodoro rivadavia,AR,-45.87,-67.5,48.2,76,0,3.4,clear sky
Husavik,IS,66.04,-17.34,39.2,80,90,13.87,light rain
Luhyny,UA,51.08,28.4,46.71,80,100,12.28,overcast clouds
Tanete,ID,-3.94,119.78,79.2,83,100,1.5,light rain
Touros,BR,-5.2,-35.46,75.2,94,20,2.24,few clouds
Tilichiki,RU,60.47,166.1,26.51,93,100,5.3,overcast clouds
Peabiru,BR,-23.91,-52.34,60.8,77,0,6.93,clear sky
Bubaque,GW,11.28,-15.83,83.39,67,0,3.18,clear sky
Maragogi,BR,-9.01,-35.22,79.32,79,97,11.95,light rain
Kyzyl-suu,KG,42.34,78.01,44.89,54,8,1.72,clear sky
Port moresby,PG,-9.44,147.18,82.4,83,75,11.41,haze
Cidreira,BR,-30.18,-50.21,62.62,78,30,4.81,light rain
Makakilo city,US,21.35,-158.09,75.2,83,1,3.36,clear sky
Tres arroyos,AR,-38.37,-60.28,49.69,70,0,9.24,clear sky
Bandarbeyla,SO,9.49,50.81,82.31,61,4,19.46,clear sky
Angoche,MZ,-16.23,39.91,85.24,56,29,8.68,light rain
Anloga,GH,5.79,0.9,86.0,74,40,9.17,scattered clouds
Haines junction,CA,60.75,-137.51,10.4,66,100,2.24,overcast clouds
Batouri,CM,4.43,14.37,81.52,76,89,0.98,moderate rain
Rawson,AR,-43.3,-65.1,67.8,26,0,19.15,clear sky
College,US,64.86,-147.8,7.0,77,75,1.81,light snow
Tarko-sale,RU,64.92,77.78,29.03,98,79,14.54,broken clouds
Russell,US,32.35,-85.2,59.0,82,90,3.36,overcast clouds
Zlynka,RU,52.43,31.74,46.4,81,90,11.18,overcast clouds
Isangel,VU,-19.55,169.27,76.23,81,20,15.41,light rain
Mayo,US,38.89,-76.51,53.01,81,90,8.05,overcast clouds
Saint anthony,US,45.02,-93.22,30.0,58,20,17.22,few clouds
Naze,JP,28.37,129.48,77.0,78,75,16.11,light rain
Vao,NC,-22.67,167.48,74.17,84,3,19.69,clear sky
North bend,US,43.41,-124.22,43.0,100,1,4.16,clear sky
Lhokseumawe,ID,5.18,97.15,83.68,71,90,7.2,light rain
Lorengau,PG,-2.02,147.27,82.96,75,3,6.6,clear sky
Henties bay,NA,-22.12,14.28,57.99,88,35,1.99,scattered clouds
Severo-kurilsk,RU,50.68,156.12,41.47,78,38,9.24,scattered clouds
Kandrian,PG,-6.22,149.55,79.68,83,99,4.36,light rain
Tongzi,CN,28.78,105.09,59.85,76,100,0.81,overcast clouds
Pires do rio,BR,-17.3,-48.28,68.22,94,100,1.97,light rain
Baykit,RU,61.67,96.37,11.66,93,99,4.12,overcast clouds
Dwarka,IN,22.24,68.97,87.76,34,0,9.6,clear sky
Nome,US,64.5,-165.41,12.2,78,1,5.82,clear sky
Grindavik,IS,63.84,-22.43,39.2,86,75,11.41,broken clouds
Seymchan,RU,62.88,152.43,6.98,92,72,5.66,broken clouds
Primorsk,UA,46.73,36.34,58.19,80,100,17.67,light rain
Sorland,NO,67.67,12.69,51.8,50,75,17.22,light rain
Codrington,AU,-38.27,141.97,51.24,92,0,7.49,clear sky
Santa marinella,IT,42.03,11.85,63.0,79,45,5.01,scattered clouds
Uruguaiana,BR,-29.75,-57.09,57.2,82,0,11.41,clear sky
Otradnoye,RU,59.78,30.82,39.0,93,0,4.47,clear sky
San joaquin,US,37.93,-121.3,53.01,65,1,2.01,clear sky
Pare,ID,-7.77,112.2,79.21,81,41,1.43,moderate rain
Shemonaikha,KZ,50.63,81.91,33.12,91,0,3.42,clear sky
Yar-sale,RU,66.83,70.83,33.6,96,97,19.01,overcast clouds
Pacific grove,US,36.62,-121.92,57.2,54,1,4.7,clear sky
Sault sainte marie,CA,46.52,-84.33,35.6,93,90,20.8,mist
Surt,LY,31.21,16.59,72.97,58,73,12.8,light rain
Zlitan,LY,32.47,14.57,72.19,53,38,7.96,scattered clouds
Okhotsk,RU,59.38,143.3,17.19,87,100,13.6,overcast clouds
Mount gambier,AU,-37.83,140.77,59.0,82,0,6.93,clear sky
